Corynebacterium_argentoratense,Clostridium_paraputrificum,Clostridium_disporicum,Butyricimonas_synergistica,Actinomyces_oris,Enterococcus_durans,Bifidobacterium_bifidum,Collinsella_aerofaciens,Blautia_obeum,Clostridium_butyricum,Faecalitalea_cylindroides,Bacteroides_intestinalis,Fannyhessea_vaginae,Abiotrophia_defectiva,Coprococcus_comes,Actinotignum_schaalii,Bacteroides_faecis,Enterococcus_faecalis,Christensenella_minuta,Eisenbergiella_tayi,Enterocloster_citroniae,Butyrivibrio_crossotus,Faecalicatena_orotica,Bacteroides_uniformis,Aggregatibacter_aphrophilus,Desulfovibrio_piger,Bifidobacterium_pseudocatenulatum,Adlercreutzia_equolifaciens,Citrobacter_portucalensis,Actinomyces_graevenitzii,Disease
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24451,0.0,0.0,0.64468,0.0,0.0,0.76739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.80384,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0046,0.0,0.0,0.0,0.01054,0.30641,0.35889,0.0,0.01364,0.5572,0.0,0.0,0.78443,0.0,0.0,0.0,0.00284,0.13178,0.0,0.0,0.0,0.80069,0.0,0.0,0.0,0.01142,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74699,0.25815,0.0,0.0,0.0,0.0,0.0,0.2072,0.0,0.0,0.0,0.03576,0.05253,0.0997,0.0,0.0,12.2701,0.0,0.67327,0.0,0.03392,0.0,0.0,0
0.0,0.07889,0.0,0.0,0.0,0.0,0.0,0.07266,0.05139,0.0,0.02174,0.0,0.0,0.0,0.29792,0.0,0.0,0.0,0.0,0.00724,0.0,0.0,0.0,10.45747,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.01106,0.0,0.0,0.0,0.0,0.84854,0.06696,0.0,0.0,0.0,0.0,0.0,0.38786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22068,0.0,0.33593,0.0,0.02777,0.0,0.0,0
0.0,0.0,0.0,0.11624,0.0,0.0,0.0,0.18435,0.22024,0.0,0.0,0.0,0.0,0.0,0.05014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.77717,0.0,0.0,0.0,0.01674,0.0,0.0,0
0.0,0.0,0.0,0.10907,0.0,0.0,0.0,0.61564,0.11258,0.0,0.0,0.0,0.0,0.0,0.28952,0.0,0.0,0.0,0.0,0.0,0.0,0.89518,0.0,6.66812,0.0,0.0,0.25689,0.03233,0.0,0.0,0
0.0,0.0,0.83419,0.0,0.0,0.0,0.0,0.22973,0.03376,0.0,0.0,0.0,0.0,0.0,0.19709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22903,0.0,0.0,0.0,0.00102,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30535,0.07243,0.0,0.0,0.0,0.0,0.0,0.16093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54938,0.0,0.0,0.02426,0.0128,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.02087,0.16413,0.0221,0.0,0.0,0.0,0.0,0.0,1.01718,0.0,0.0,0.0,0.0,0.0,0.01898,0.0,0.0,3.26699,0.0,0.0,0.0,0.00062,0.0,0.0,0
